,precision,recall,f1-score,support
045,0.6557377049180327,0.6896551724137931,0.6722689075630253,58.0
046,0.85,0.8947368421052632,0.8717948717948718,19.0
047,0.9423076923076923,0.9607843137254902,0.9514563106796117,51.0
048,0.9090909090909091,0.967741935483871,0.9374999999999999,31.0
049,0.8571428571428571,0.8571428571428571,0.8571428571428571,14.0
050,0.9545454545454546,0.9618320610687023,0.9581749049429659,131.0
051,0.9090909090909091,0.9774436090225563,0.9420289855072463,133.0
052,0.860655737704918,0.9292035398230089,0.8936170212765957,113.0
053,0.84,0.8015267175572519,0.8203125,131.0
054,0.8661417322834646,0.8396946564885496,0.8527131782945735,131.0
055,0.8571428571428571,0.8823529411764706,0.8695652173913043,34.0
056,0.85,0.8585858585858586,0.8542713567839195,99.0
057,0.8360655737704918,0.8360655737704918,0.8360655737704918,61.0
058,0.7804878048780488,0.732824427480916,0.7559055118110236,131.0
059,0.7446808510638298,0.7608695652173914,0.7526881720430109,46.0
060,0.8633093525179856,0.916030534351145,0.8888888888888888,131.0
061,0.872,0.8320610687022901,0.8515625000000001,131.0
062,0.8444444444444444,0.8702290076335878,0.8571428571428572,131.0
063,0.9130434782608695,0.9333333333333333,0.9230769230769231,90.0
064,0.84,0.6176470588235294,0.711864406779661,68.0
065,0.9393939393939394,0.9117647058823529,0.9253731343283583,34.0
066,0.8823529411764706,0.8015267175572519,0.84,131.0
067,0.6470588235294118,0.55,0.5945945945945946,80.0
068,0.6884057971014492,0.7251908396946565,0.7063197026022304,131.0
069,0.8,0.8,0.8000000000000002,40.0
070,0.905982905982906,0.8091603053435115,0.8548387096774193,131.0
071,0.9150326797385621,0.9722222222222222,0.9427609427609427,144.0
072,0.6666666666666666,0.6461538461538462,0.65625,65.0
073,0.7864077669902912,0.6183206106870229,0.6923076923076922,131.0
074,0.8461538461538461,0.8461538461538461,0.8461538461538461,39.0
075,0.7053571428571429,0.7523809523809524,0.7281105990783412,105.0
076,0.9375,0.8035714285714286,0.8653846153846154,56.0
077,0.7986111111111112,0.8778625954198473,0.8363636363636363,131.0
078,0.6666666666666666,0.4864864864864865,0.5625,37.0
079,0.976,0.9312977099236641,0.953125,131.0
080,0.7763157894736842,0.686046511627907,0.7283950617283951,86.0
081,0.7969924812030075,0.8091603053435115,0.803030303030303,131.0
082,0.7349397590361446,0.6853932584269663,0.7093023255813955,89.0
083,0.9166666666666666,0.9295774647887324,0.9230769230769231,71.0
084,0.8306451612903226,0.7862595419847328,0.807843137254902,131.0
085,0.8571428571428571,0.7894736842105263,0.8219178082191781,38.0
086,0.9606299212598425,0.9312977099236641,0.945736434108527,131.0
087,0.9015151515151515,0.9083969465648855,0.9049429657794676,131.0
088,0.9137931034482759,0.9636363636363636,0.9380530973451328,55.0
089,0.8740740740740741,0.9007633587786259,0.8872180451127819,131.0
090,0.6973684210526315,0.762589928057554,0.7285223367697595,139.0
091,1.0,0.9829059829059829,0.9913793103448275,117.0
092,0.9692307692307692,0.9618320610687023,0.9655172413793103,131.0
093,0.7777777777777778,0.8015267175572519,0.7894736842105262,131.0
094,0.8723404255319149,0.9389312977099237,0.9044117647058824,131.0
095,0.8017241379310345,0.7560975609756098,0.7782426778242678,123.0
096,0.7916666666666666,0.7251908396946565,0.756972111553785,131.0
097,0.8163265306122449,0.916030534351145,0.8633093525179856,131.0
098,0.6428571428571429,0.6506024096385542,0.6467065868263473,83.0
