[CMD] python /food_data/xiaorong/R_KDAT/main.py --seed 42 --out-dir ablation_runs_seed42_serverA/kd_er/seed_42 --resume-ckpt  --train-dir /food_data/food_data/CNFOOD-241/CNFOOD-241/train600x600 --val-dir /food_data/food_data/CNFOOD-241/CNFOOD-241/val600x600 --batch-size 128 --num-workers 8 --pk-p 32 --pk-k 4 --amp-dtype fp16 --teacher-ckpt /food_data/RegNetY-32GF/exp_regnety32/best.pt --kd-use --no-arcface --triplet --no-strong-aug --no-channels-last --no-fused-adamw

CONFIG OK.
SEED = 42
OUT_DIR = ablation_runs_seed42_serverA/kd_er/seed_42
CWD = /food_data/xiaorong
PYTHONPATH head = ['/food_data/xiaorong/R_KDAT', '/opt/conda/lib/python38.zip', '/opt/conda/lib/python3.8']
CONFIG keys = ['train_dir', 'val_dir', 'class_file', 'num_classes', 'img_size']
CUDA: True  GPUs=2  Name=NVIDIA GeForce RTX 4090
[KD] Loading teacher from: /food_data/RegNetY-32GF/exp_regnety32/best.pt
[KD] remap keys: backbone.fc.* → head.*
[KD] teacher ready (eval, frozen).
[A100] amp_dtype=fp16  GradScaler=on
[TB] logdir: ablation_runs_seed42_serverA/kd_er/seed_42/runs/20260617-195405

Train E001:   0% 0/1335 [00:00<?, ?it/s]
Train E001:   4% 51/1335 [00:49<15:06,  1.42it/s, loss=2.3665, top1=13.60%, top5=28.17%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   4% 52/1335 [00:49<15:05,  1.42it/s, loss=2.3665, top1=13.60%, top5=28.17%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   4% 52/1335 [00:49<15:05,  1.42it/s, loss=2.3589, top1=13.93%, top5=28.74%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   4% 53/1335 [00:49<15:05,  1.42it/s, loss=2.3589, top1=13.93%, top5=28.74%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   4% 53/1335 [00:50<15:05,  1.42it/s, loss=2.3512, top1=14.15%, top5=29.20%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   4% 54/1335 [00:50<15:23,  1.39it/s, loss=2.3512, top1=14.15%, top5=29.20%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   4% 54/1335 [00:51<15:23,  1.39it/s, loss=2.3435, top1=14.36%, top5=29.77%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   4% 55/1335 [00:51<15:17,  1.40it/s, loss=2.3435, top1=14.36%, top5=29.77%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   4% 55/1335 [00:51<15:17,  1.40it/s, loss=2.3356, top1=14.70%, top5=30.20%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   4% 56/1335 [00:51<15:12,  1.40it/s, loss=2.3356, top1=14.70%, top5=30.20%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   4% 56/1335 [00:52<15:12,  1.40it/s, loss=2.3280, top1=14.93%, top5=30.84%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
Train E001:   4% 57/1335 [00:52<15:08,  1.41it/s, loss=2.3280, top1=14.93%, top5=30.84%, aug=none, lr=1.00e-04, KD=on, Arc=off, Trip=on]
